Fecha,Partner,Pais,Inversion
2025-10-01,Aciertala,Perú,22.525
2025-10-01,Ecuabet,Ecuador,54.709
2025-10-02,Aciertala,Perú,22.225
2025-10-02,Ecuabet,Ecuador,71.7585
2025-10-03,Aciertala,Perú,22.53
2025-10-03,Ecuabet,Ecuador,78.39150000000001
2025-10-04,Aciertala,Perú,22.155
2025-10-04,Ecuabet,Ecuador,71.1575
2025-10-05,Aciertala,Perú,22.525
2025-10-05,Ecuabet,Ecuador,67.9115
2025-10-06,Aciertala,Perú,22.295
2025-10-06,Ecuabet,Ecuador,59.622499999999995
2025-10-07,Aciertala,Perú,22.509999999999998
2025-10-07,Ecuabet,Ecuador,62.200500000000005
2025-10-08,Aciertala,Perú,22.225
2025-10-08,Ecuabet,Ecuador,60.943999999999996
2025-10-09,Aciertala,Perú,22.37
2025-10-09,Ecuabet,Ecuador,59.2415
2025-10-10,Aciertala,Perú,22.37
2025-10-10,Ecuabet,Ecuador,69.20400000000001
2025-10-11,Aciertala,Perú,22.455
2025-10-11,Ecuabet,Ecuador,66.16799999999999
2025-10-12,Aciertala,Perú,22.16
2025-10-12,Ecuabet,Ecuador,70.24549999999999
2025-10-13,Aciertala,Perú,22.450000000000003
2025-10-13,Ecuabet,Ecuador,110.37899999999999
2025-10-14,Aciertala,Perú,22.450000000000003
2025-10-14,Ecuabet,Ecuador,135.886
