Fecha,Partner,Pais,Plataforma,Registros,primeros_Depositos,Inversion
2025-10-01,Doradobet,Chile,Sport_Radar_Programática_3,11,1,164.84
2025-10-01,Doradobet,Costa Rica,Sport_Radar_Programática_3,85,41,353.36
2025-10-01,Doradobet,Ecuador,Sport_Radar_Programática_3,53,27,225.11
2025-10-01,Doradobet,El Salvador,Sport_Radar_Programática_3,31,8,159.75
2025-10-01,Doradobet,Perú,Sport_Radar_Programática_3,82,15,373.89
2025-10-01,Ecuabet,Ecuador,Sport_Radar_Programática_3,156,52,351.04
2025-10-01,GanaPlay,El Salvador,Sport_Radar_Programática_3,89,31,92.92
2025-10-01,GanaPlay,Guatemala,Sport_Radar_Programática_3,18,5,82.85000000000001
2025-10-01,Paniplay,Honduras,Sport_Radar_Programática_3,12,6,114.57
2025-10-02,Doradobet,Chile,Sport_Radar_Programática_3,3,5,192.84
2025-10-02,Doradobet,Costa Rica,Sport_Radar_Programática_3,58,35,418.57
2025-10-02,Doradobet,Ecuador,Sport_Radar_Programática_3,40,19,434.3
2025-10-02,Doradobet,El Salvador,Sport_Radar_Programática_3,9,2,153.52
2025-10-02,Doradobet,Perú,Sport_Radar_Programática_3,46,20,363.66
2025-10-02,Ecuabet,Ecuador,Sport_Radar_Programática_3,87,23,581.95
2025-10-02,GanaPlay,El Salvador,Sport_Radar_Programática_3,48,17,138.32
2025-10-02,GanaPlay,Guatemala,Sport_Radar_Programática_3,18,2,119.38
2025-10-02,Paniplay,Honduras,Sport_Radar_Programática_3,8,4,48.97
2025-10-03,Doradobet,Chile,Sport_Radar_Programática_3,4,2,216.04
2025-10-03,Doradobet,Costa Rica,Sport_Radar_Programática_3,44,30,412.76
2025-10-03,Doradobet,Ecuador,Sport_Radar_Programática_3,30,16,353.71
2025-10-03,Doradobet,El Salvador,Sport_Radar_Programática_3,19,4,158.14
2025-10-03,Doradobet,Perú,Sport_Radar_Programática_3,45,15,413.59
2025-10-03,Ecuabet,Ecuador,Sport_Radar_Programática_3,66,27,609.96
2025-10-03,GanaPlay,El Salvador,Sport_Radar_Programática_3,37,15,191.97
2025-10-03,GanaPlay,Guatemala,Sport_Radar_Programática_3,16,5,129.81
2025-10-03,Paniplay,Honduras,Sport_Radar_Programática_3,8,1,50.769999999999996
2025-10-04,Doradobet,Chile,Sport_Radar_Programática_3,10,1,195.04
2025-10-04,Doradobet,Costa Rica,Sport_Radar_Programática_3,43,25,469.92
2025-10-04,Doradobet,Ecuador,Sport_Radar_Programática_3,40,19,410.07
2025-10-04,Doradobet,El Salvador,Sport_Radar_Programática_3,14,4,119.33
2025-10-04,Doradobet,Perú,Sport_Radar_Programática_3,41,14,392.0
2025-10-04,Ecuabet,Ecuador,Sport_Radar_Programática_3,79,26,642.06
2025-10-04,GanaPlay,El Salvador,Sport_Radar_Programática_3,52,23,143.94
2025-10-04,GanaPlay,Guatemala,Sport_Radar_Programática_3,7,2,100.73
2025-10-04,Paniplay,Honduras,Sport_Radar_Programática_3,11,3,29.939999999999998
2025-10-05,Doradobet,Chile,Sport_Radar_Programática_3,14,2,271.8
2025-10-05,Doradobet,Costa Rica,Sport_Radar_Programática_3,75,34,629.03
2025-10-05,Doradobet,Ecuador,Sport_Radar_Programática_3,40,4,348.97
2025-10-05,Doradobet,El Salvador,Sport_Radar_Programática_3,22,5,159.59
2025-10-05,Doradobet,Perú,Sport_Radar_Programática_3,56,6,376.45
2025-10-05,Ecuabet,Ecuador,Sport_Radar_Programática_3,89,10,591.86
2025-10-05,GanaPlay,El Salvador,Sport_Radar_Programática_3,62,6,187.16
2025-10-05,GanaPlay,Guatemala,Sport_Radar_Programática_3,14,1,73.14
2025-10-05,Paniplay,Honduras,Sport_Radar_Programática_3,9,3,50.09
2025-10-06,Doradobet,Chile,Sport_Radar_Programática_3,7,0,205.79
2025-10-06,Doradobet,Costa Rica,Sport_Radar_Programática_3,37,15,478.94
2025-10-06,Doradobet,Ecuador,Sport_Radar_Programática_3,31,3,373.21
2025-10-06,Doradobet,El Salvador,Sport_Radar_Programática_3,10,1,150.04000000000002
2025-10-06,Doradobet,Perú,Sport_Radar_Programática_3,42,6,341.2
2025-10-06,Ecuabet,Ecuador,Sport_Radar_Programática_3,49,6,658.2
2025-10-06,GanaPlay,El Salvador,Sport_Radar_Programática_3,40,5,120.64
2025-10-06,GanaPlay,Guatemala,Sport_Radar_Programática_3,9,0,112.71000000000001
2025-10-06,Paniplay,Honduras,Sport_Radar_Programática_3,6,1,39.77
2025-10-07,Doradobet,Chile,Sport_Radar_Programática_3,9,2,246.73
